"","coef","exp(coef)","se(coef)","z","Pr(>|z|)"
"as.factor(louvain_h)2",-0.489938784314319,0.612663897677092,0.236993777474126,-2.06730653241648,0.0387052791107869
"as.factor(louvain_h)3",-0.568265789714402,0.56650702962863,0.233195727926054,-2.4368619218213,0.0148153353376738
"as.factor(tumor_stage)2",0.359658271699155,1.43283968901626,0.252133794037109,1.42645801635865,0.153736177344258
"as.factor(tumor_stage)3",0.99096283368045,2.69382693139439,0.216871191750225,4.56936131388885,4.89212763477385e-06
"as.factor(tumor_stage)4",1.85682885939867,6.40339846380127,0.605343249613233,3.06739830762966,0.0021593091831623
"age_at_index",0.0133238081265677,1.01341296559033,0.00745967004604727,1.786112260237,0.0740810834436121
